group,chain_size
adult,1
adult,2
adult,2
adult,1
adult,4
adult,14
adult,4
adult,1
adult,1
adult,1
adult,5
adult,1
adult,1
adult,1
adult,1
adult,1
adult,7
adult,1
adult,1
adult,1
adult,3
adult,1
adult,1
adult,1
adult,4
adult,1
adult,2
adult,1
adult,1
adult,12
adult,1
adult,4
adult,1
adult,1
adult,1
adult,3
adult,1
adult,6
adult,1
adult,2
adult,1
adult,1
adult,1
adult,2
adult,1
adult,4
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,9
adult,1
adult,1
adult,1
adult,2
adult,2
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,3
adult,2
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,3
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,7
adult,1
adult,3
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,2
adult,1
adult,1
adult,1
adult,1
adult,1
adult,3
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,10
adult,4
adult,1
adult,2
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,3
adult,1
adult,1
adult,1
adult,1
adult,1
adult,3
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,10
adult,1
adult,2
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,2
adult,1
adult,4
adult,2
adult,1
adult,1
adult,1
adult,5
adult,14
adult,1
adult,1
adult,2
adult,1
adult,1
adult,3
adult,1
adult,1
adult,1
adult,1
adult,10
adult,1
adult,1
adult,1
adult,1
adult,1
adult,1
adult,10
adult,1
adult,1
adult,1
adult,3
adult,1
adult,1
adult,2
adult,13
adult,1
adult,2
adult,7
adult,1
adult,1
adult,1
adult,1
adult,1
adult,2
adult,1
adult,1
adult,3
adult,1
adult,1
adult,1
adult,4
adult,1
adult,1
adult,1
adult,1
adult,1
adult,11
adult,5
adult,1
adult,2
adult,4
adult,1
adult,2
adult,1
adult,1
adult,1
adult,1
adult,1
adult,5
adult,2
adult,1
adult,1
adult,1
adult,1
adult,1
adult,2
adult,1
adult,3
adult,1
adult,1
adult,11
adult,1
adult,5
adult,1
adult,1
adult,1
adult,1
adult,1
adult,5
adult,1
adult,2
adult,3
adult,1
adult,1
adult,1
adult,2
adult,1
adult,6
adult,1
adult,1
adult,1
adult,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,2
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,8
bilingual,1
bilingual,1
bilingual,1
bilingual,4
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,5
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,4
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,2
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,2
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,6
bilingual,1
bilingual,8
bilingual,1
bilingual,4
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,11
bilingual,1
bilingual,4
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,5
bilingual,1
bilingual,1
bilingual,1
bilingual,6
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,8
bilingual,1
bilingual,1
bilingual,7
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,5
bilingual,1
bilingual,7
bilingual,1
bilingual,6
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,4
bilingual,1
bilingual,7
bilingual,1
bilingual,8
bilingual,1
bilingual,5
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,2
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,4
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,5
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,4
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,10
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,4
bilingual,1
bilingual,1
bilingual,1
bilingual,6
bilingual,1
bilingual,6
bilingual,1
bilingual,1
bilingual,1
bilingual,7
bilingual,1
bilingual,5
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,7
bilingual,1
bilingual,1
bilingual,1
bilingual,4
bilingual,1
bilingual,1
bilingual,1
bilingual,5
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,3
bilingual,1
bilingual,5
bilingual,1
bilingual,6
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,4
bilingual,1
bilingual,4
bilingual,1
bilingual,4
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,2
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,2
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,5
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,7
bilingual,1
bilingual,1
bilingual,4
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,8
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,5
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,2
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,12
bilingual,1
bilingual,10
bilingual,1
bilingual,6
bilingual,1
bilingual,8
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,2
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,13
bilingual,1
bilingual,1
bilingual,1
bilingual,2
bilingual,1
bilingual,2
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,7
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,10
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,12
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,2
bilingual,1
bilingual,1
bilingual,1
bilingual,2
bilingual,1
bilingual,9
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,10
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,2
bilingual,1
bilingual,3
bilingual,1
bilingual,7
bilingual,1
bilingual,1
bilingual,1
bilingual,2
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,11
bilingual,1
bilingual,1
bilingual,14
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,2
bilingual,1
bilingual,1
bilingual,1
bilingual,5
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,7
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,10
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,7
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,5
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,4
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,7
monolingual,1
monolingual,1
monolingual,1
monolingual,6
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,4
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,7
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,5
monolingual,8
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,5
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,15
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,2
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,5
monolingual,1
monolingual,2
monolingual,1
monolingual,7
monolingual,1
monolingual,7
monolingual,1
monolingual,5
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,9
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,8
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,2
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,6
monolingual,1
monolingual,2
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,5
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,8
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,6
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,5
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,4
monolingual,1
monolingual,1
monolingual,1
monolingual,5
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,4
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,8
monolingual,1
monolingual,1
monolingual,1
monolingual,11
monolingual,1
monolingual,1
monolingual,1
monolingual,2
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,4
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,2
monolingual,2
monolingual,2
monolingual,2
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,2
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,2
monolingual,2
monolingual,2
monolingual,2
monolingual,2
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,8
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,2
monolingual,5
monolingual,1
monolingual,4
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,5
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
